"year","name","flow","sd","upp50","lwr50","upp80","lwr80","model"
2014,"France",780459.891398826,59742.7095979349,819348.585312852,742051.637800531,862483.427370458,708065.518381851,"Eurostat estimate 2016"
2014,"Germany",1266065.91067333,84848.5099643763,1327297.81707352,1214143.5871152,1380850.1014804,1168522.06364024,"Eurostat estimate 2016"
2014,"Greece",99691.6769734762,8661.28419992639,105999.915567251,94431.1757243404,111637.395883234,89819.0003525983,"Eurostat estimate 2016"
2014,"Hungary",278490.9533106,34645.4368523093,302257.918356218,256804.625105055,327868.311894013,240128.237929302,"Eurostat estimate 2016"
2014,"Ireland",260564.073321258,54679.5898228839,299260.230984495,227174.331267149,337577.100085075,202248.992207424,"Eurostat estimate 2016"
2014,"Italy",790156.272767117,89790.240738808,855200.711829402,736239.380350587,918567.235853135,691314.377394831,"Eurostat estimate 2016"
2014,"Latvia",132908.076895116,18086.241055506,145196.135231567,121997.547092573,159261.040561661,113869.318242245,"Eurostat estimate 2016"
2014,"Lithuania",249519.668636666,33085.8147000954,272587.116050529,229993.127503906,296364.198214813,213567.923181321,"Eurostat estimate 2016"
2014,"Luxembourg",45388.1716729575,5826.75495788598,49835.3562407483,42066.6882831541,53765.8568600959,39142.3545978394,"Eurostat estimate 2016"
2014,"Malta",23062.7611050821,6444.15182262318,27516.9014030019,19426.3455612363,32433.7360785697,16848.5685338129,"Eurostat estimate 2016"
2014,"Netherlands",319160.043074268,29211.2043335191,339106.0759425,300391.318067196,358267.801734474,286035.045721026,"Eurostat estimate 2016"
2014,"Poland",2312878.14340368,335004.174590723,2546908.09507739,2100528.23239398,2798535.64442794,1947617.33726027,"Eurostat estimate 2016"
2014,"Portugal",814629.377509971,125838.030710548,899011.782089629,737438.2071504,991619.426043409,672870.861945534,"Eurostat estimate 2016"
2014,"Romania",2639136.01880546,205241.610460957,2776741.56804203,2508521.90960318,2915735.50739565,2395634.46798059,"Eurostat estimate 2016"
2014,"Slovakia",295769.031758985,31673.1329949396,318427.312048444,275429.019936234,339356.390361413,259394.425661217,"Eurostat estimate 2016"
2014,"Slovenia",58066.454689576,9601.93522836468,64794.2391524978,52480.844928899,71828.6858332846,48516.2500728279,"Eurostat estimate 2016"
2014,"Spain",406282.052163691,48374.2212543536,440416.329569611,377623.134341589,473977.443594337,351713.1694939,"Eurostat estimate 2016"
