orig,dest,stock,year,sd,upp50,lwr50,upp80,lwr80,model
Austria,Lithuania,12.9777720815613,2011,7.02376415758835,17.7685533371671,9.65644402924577,23.4208811121706,7.25232282540431,Main
Austria,Luxembourg,614.956520186682,2011,11.4627738568365,622.531543575016,607.706891534438,630.3980857281,601.882941786262,Main
Austria,Malta,80.0883288779519,2011,1.53203467359622,81.1072336722566,79.1237034275335,82.2008673752018,78.3397736922372,Main
Austria,Netherlands,4356.66682728266,2011,651.404664741048,4829.26032649788,3943.42713586326,5267.92335713474,3618.13649326331,Main
Austria,Poland,1040.75948957446,2011,19.9091770542929,1053.70545898611,1028.77617700271,1067.73322164498,1018.78289767402,Main
Austria,Portugal,356.559061361165,2011,6.86379005058575,361.111799077191,352.42713234008,366.057468295468,348.890838440661,Main
Austria,Romania,326.609123267788,2011,6.2125788734584,330.731564392831,322.787517583585,335.080547132126,319.462090701503,Main
Austria,Slovakia,471.637426545516,2011,8.99015130899457,477.811957533157,466.461608205295,484.380771089634,461.578012244557,Main
Austria,Slovenia,1841.4608245846,2011,34.9546837994852,1865.05110617291,1820.35824258038,1889.93527234009,1802.2094519436,Main
Austria,Spain,4621.23856318224,2011,86.7009178717748,4682.42635179762,4565.41224578074,4737.63138781643,4518.62235594516,Main
Austria,Sweden,2810.86028577858,2011,53.5545839623777,2846.52533689109,2778.75547061651,2883.87921710794,2750.13504024413,Main
Austria,United Kingdom,11035.2059889345,2011,216.107873364415,11179.6158993617,10897.105451377,11329.7644576561,10793.2115461309,Main
Belgium,Austria,1566.56967894775,2011,29.9666256778911,1586.78810004884,1548.817349872,1606.87318484906,1532.48203837918,Main
Belgium,Bulgaria,201.14357642173,2011,3.81859674709062,203.795550516368,198.802696081418,206.294817893587,196.83596008961,Main
Belgium,Croatia,175.193318580078,2011,3.36905042326914,177.508664619321,173.234959713018,179.967236213836,171.542140896003,Main
Belgium,Cyprus,129.609948737131,2011,2.44822883107607,131.386808594597,128.217561436091,133.136272306938,126.931873132991,Main
Belgium,Czechia,318.616957659823,2011,48.3142426807563,354.670784331447,289.220860418414,386.465335656439,263.824102169463,Main
Belgium,Denmark,1299.09328997727,2011,25.1741113329404,1316.611844,1283.21274398129,1333.39828702918,1270.53334789721,Main
Belgium,Estonia,31.3939529703253,2011,0.615778088759066,31.798757363959,31.0174654327779,32.2556861133462,30.7167219771414,Main
Belgium,Finland,271.631497865772,2011,5.25076600666077,275.083960214256,268.440658007288,278.821829847238,265.625302252003,Main
Belgium,France,101893.614383544,2011,1984.67739893912,103272.186058565,100655.126710073,104632.63064393,99631.6585074587,Main
Belgium,Germany,18719.1318905339,2011,359.501833196407,18967.9985002403,18506.9710987983,19243.2854019055,18334.6414965151,Main
Belgium,Greece,4729.64155107474,2011,92.4040390602126,4791.15423234401,4670.4099498844,4857.55577200261,4622.22301203594,Main
Belgium,Hungary,776.582523924333,2011,14.9243554020663,786.789045301529,767.543830850152,797.210124058044,759.414391934847,Main
Belgium,Ireland,1033.31134575058,2011,177.79406588229,1165.53183456833,925.27933569012,1283.54837781468,834.670193305254,Main
Belgium,Italy,40136.4727372532,2011,761.120017736716,40669.2282224129,39680.1652014275,41165.1786833949,39260.6799180626,Main
Belgium,Latvia,31.4009047118874,2011,0.60141342917239,31.7974068743349,31.0302634535343,32.2198652321765,30.7066994631807,Main
Belgium,Lithuania,29.2509963378433,2011,15.4385929017598,39.5802160023443,21.9554911941906,52.1023986884834,16.6257284491844,Main
Belgium,Luxembourg,13476.4320976511,2011,262.568813834765,13646.3955705018,13307.5032076802,13822.1528715347,13175.4421128002,Main
Belgium,Malta,119.579891895758,2011,2.27014773083197,121.158439514528,118.234175508688,122.724732613664,116.983997816619,Main
Belgium,Netherlands,32590.2730610036,2011,4909.46929509273,35920.3181141497,29637.5191267147,39372.4708024298,26968.442330399,Main
Belgium,Poland,756.726811843852,2011,14.5987502072478,766.796072094806,747.553936943137,776.733069440322,740.149459775867,Main
Belgium,Portugal,2586.51118291071,2011,50.7740859908901,2622.62302329167,2555.68528030637,2657.05148754559,2531.37262780156,Main
Belgium,Romania,244.521871189893,2011,4.64941484317068,247.532741589504,241.576038123376,250.79651375598,239.172856293976,Main
Belgium,Slovakia,109.242164978997,2011,2.09367010919593,110.675543199264,107.922257226049,112.202622283934,106.830787595756,Main
Belgium,Slovenia,121.138238841789,2011,2.28024690897063,122.643829289051,119.754712237654,124.368894791297,118.530360783114,Main
