"year","total","sd","upp50","lwr50","upp80","lwr80","model"
2014,13669195.7035603,1251284.71886383,14134999.4298096,13238210.9010016,14677433.6792033,12851015.8997967,"Without Facebook"
2015,13606853.1916644,1221181.86724396,14132715.8178865,13149441.940444,14656098.388622,12765146.760266,"Without Facebook"
2016,13538283.608829,1229074.94272442,14079049.9024428,13075038.2601449,14680763.8467631,12645422.6319374,"Without Facebook"
2017,13538748.3450372,1253204.81090526,14114008.8064884,13000255.7074658,14778683.5392019,12537397.7385661,"Without Facebook"
2018,13612914.6182312,1297053.11560839,14349686.6663265,12986422.2081611,15100410.9629304,12470652.3719248,"Without Facebook"
2011,12549493.8456679,210042.15648559,12700359.8455943,12444593.498842,12879650.3487069,12369723.7000423,"Eurostat 5 percent"
2012,13269238.0222556,414538.460279717,13554437.7804096,13015441.7582059,13830703.4966905,12784856.5097506,"Eurostat 5 percent"
2013,13810394.3861832,512406.102579345,14162838.411909,13486451.0720628,14506279.2201572,13209842.6883528,"Eurostat 5 percent"
2014,14313461.4237721,561878.304162612,14695354.357075,13952338.0055442,15044923.0458395,13634212.8213195,"Eurostat 5 percent"
2015,14839559.6852069,606855.141076715,15249953.4625675,14425280.1704914,15595309.6588185,14080235.5393811,"Eurostat 5 percent"
2016,15316169.0773105,573025.329537939,15710846.3127754,14943205.2546342,16079651.8046967,14623628.8595066,"Eurostat 5 percent"
2017,15403934.2407564,603307.021699382,15820896.6779234,14994250.2587791,16200764.5748158,14668706.406473,"Eurostat 5 percent"
2018,15468938.3663664,714327.563498757,15956000.0946145,15015775.9530764,16416132.292259,14595740.1531158,"Eurostat 5 percent"
2019,15562277.1767833,871547.333301253,16170773.6852646,14977877.1812338,16719940.9223325,14525526.1639346,"Eurostat 5 percent"
2011,12581314.8439406,298144.432417562,12762920.2402971,12438674.8167209,12987612.0813194,12348905.1354669,"Eurostat 20 percent"
2012,13289340.5465041,461533.362344988,13583036.0942281,13000846.7220661,13872254.4572045,12754393.4577034,"Eurostat 20 percent"
2013,13827475.9642119,548122.028219578,14179545.2312774,13479205.7550315,14523445.351181,13175339.0211097,"Eurostat 20 percent"
2014,14296800.0938008,605708.122603301,14696225.1415535,13895674.2165417,15059413.8999495,13571150.6662461,"Eurostat 20 percent"
2015,14743480.0312386,628824.631430814,15190821.4196304,14332520.7610657,15571426.2788742,13969335.099547,"Eurostat 20 percent"
2016,15262580.4522727,601130.781660288,15682927.8585687,14865510.519801,16030077.5190133,14505589.2104608,"Eurostat 20 percent"
2017,15364553.439437,621684.989829304,15794282.4078918,14959162.8666512,16161938.0243204,14596068.6021404,"Eurostat 20 percent"
2018,15364454.1783935,740379.471730019,15839398.1083037,14877382.7482716,16316428.3433093,14429716.867886,"Eurostat 20 percent"
2019,15403521.5665746,915273.617847259,15988004.5945808,14801977.3853969,16602461.0312974,14282543.7311394,"Eurostat 20 percent"
2011,12572648.0769837,220230.521769343,12715374.2144851,12464240.802441,12894167.0955292,12390101.4535622,"Eurostat estimate 2018"
2012,13372707.226582,450496.780451115,13684231.4085812,13084639.4486738,13987365.0112431,12842819.598776,"Eurostat estimate 2018"
2013,13974910.5238883,545223.481748558,14346304.8444936,13621469.2130866,14715787.4620322,13326689.5422013,"Eurostat estimate 2018"
2014,14496102.4329774,612303.704053362,14916661.297122,14111549.2596725,15328075.1438733,13756941.6487976,"Eurostat estimate 2018"
2015,14997873.278663,635318.283573202,15447285.0040706,14597925.7932903,15875192.6745327,14246351.8288218,"Eurostat estimate 2018"
2016,15529155.2322386,607397.872739216,15942451.0271878,15142308.7934214,16342541.1974741,14801535.8890573,"Eurostat estimate 2018"
2017,15425295.0500365,628002.18092125,15867071.1338849,15024528.2363085,16269204.6903192,14664618.5812043,"Eurostat estimate 2018"
2018,15043798.6544821,776616.202994222,15557561.8370787,14516261.7520641,16089255.9495931,14097252.6365179,"Eurostat estimate 2018"
2019,15017054.8604434,910987.527814238,15639296.3789732,14413278.4575263,16218288.9064432,13887930.0216298,"Eurostat estimate 2018"
