"year","name","total","sd","upp50","lwr50","upp80","lwr80","model"
2015,"France",1310005.95377365,166907.825314836,1424197.37879777,1201480.45057792,1538952.88262051,1116039.23207608,"Eurostat 10 percent"
2015,"Germany",2758653.40453701,366699.704053066,3008702.62229179,2533941.18074149,3270928.98445228,2350018.43054512,"Eurostat 10 percent"
2015,"Greece",274078.553669855,46429.948972206,306492.998963509,247761.384717482,340380.788132134,226492.95015414,"Eurostat 10 percent"
2015,"Hungary",252656.383382721,25857.5627418994,269787.208076034,236254.702463856,287767.068954595,221775.864903062,"Eurostat 10 percent"
2015,"Ireland",424690.061505976,63861.4167045411,469859.051307959,382853.749905185,514386.415435882,351269.027871599,"Eurostat 10 percent"
2015,"Italy",1884707.42322866,156277.181825378,1995595.20520316,1788239.70201389,2102658.63926742,1704137.78378441,"Eurostat 10 percent"
2015,"Latvia",19204.24892129,1716.76086996053,20317.8935884958,18098.1237511039,21604.7886388539,17179.3670158856,"Eurostat 10 percent"
2015,"Lithuania",11700.3510557809,1001.88853490598,12421.5222250922,11052.8498073447,13063.5523072812,10542.7970031625,"Eurostat 10 percent"
2015,"Luxembourg",156378.774069581,16777.3720709304,168498.92307588,145886.515380778,179724.855481034,136730.382989266,"Eurostat 10 percent"
2015,"Malta",23419.7645486482,3983.62233001558,26140.3749684755,20993.1539665877,29088.5369044446,19234.0239012734,"Eurostat 10 percent"
2015,"Netherlands",484753.167018484,26073.4324930117,502558.820326146,467994.535906166,518788.281930359,453600.036907627,"Eurostat 10 percent"
2015,"Poland",76383.6456264252,10084.7211976864,83329.1722288257,70521.5417010126,90521.2265367756,65470.9371966664,"Eurostat 10 percent"
2015,"Portugal",189933.915045926,34539.4571558776,214008.42640244,169979.554867562,238673.336569088,154555.832759955,"Eurostat 10 percent"
2015,"Romania",20225.6978276307,1151.57697419121,21008.4711630427,19550.6293562604,21854.7597730297,18872.5104076466,"Eurostat 10 percent"
2015,"Slovakia",120189.521570069,10827.0484332685,127498.014118083,113231.614122661,134123.108238603,107298.012902923,"Eurostat 10 percent"
2015,"Slovenia",60050.5262410432,5591.26797107095,63768.921160032,56515.6135343698,67650.2528349594,53537.5902018195,"Eurostat 10 percent"
2015,"Spain",1868437.70292151,121084.176050461,1954842.61810921,1793291.30909085,2033041.27736679,1732694.86661287,"Eurostat 10 percent"
2015,"Sweden",393781.160250426,20300.6676355748,407451.081736034,380100.407236325,420692.993571081,368274.01744911,"Eurostat 10 percent"
2015,"United Kingdom",2372431.7923251,241175.373390737,2544710.81593016,2219133.84328082,2702978.18481219,2086823.98114632,"Eurostat 10 percent"
2016,"Austria",649861.737978657,31970.5187075834,672150.616722044,629453.36651417,693136.766524086,610981.807548841,"Eurostat 10 percent"
2016,"Belgium",734825.795746907,35595.7977660282,758795.950626739,710626.538276292,780740.438748592,690742.31126089,"Eurostat 10 percent"
2016,"Bulgaria",18012.1420391111,955.759683839389,18639.5801132331,17360.6927069687,19280.6020563339,16796.2869104293,"Eurostat 10 percent"
2016,"Croatia",60166.6050253117,11804.1862147867,68148.4463870295,53304.0302724505,77237.1488999919,48101.4953991694,"Eurostat 10 percent"
2016,"Cyprus",77339.1130681527,14313.5954860315,86999.5691343595,68578.2109810765,97360.9785097137,61943.4683101455,"Eurostat 10 percent"
2016,"Czechia",235780.473733878,20311.9218153854,250077.324120543,223125.761731706,263422.830901858,211808.778687746,"Eurostat 10 percent"
2016,"Denmark",209901.611763068,9625.35511826068,216500.980481287,203574.200642777,222421.571522729,198324.832593734,"Eurostat 10 percent"
