"year","name","total","sd","upp50","lwr50","upp80","lwr80"
2011,"Spain",1559104.74023354,42141.5717996847,1616625.61983541,1539592.65527622,1636191.52847885,1527005.75753806
2011,"Sweden",334927.726240339,9185.25924978019,349219.93959153,331438.022181568,352292.099778015,328784.32325906
2011,"United Kingdom",2106023.23736203,82415.4277577211,2199577.4900779,2070498.15046187,2242830.97721695,2054473.41970066
2012,"Austria",448671.470381764,26586.1163001683,466875.847559759,434171.031128333,485296.833096006,416467.325944734
2012,"Belgium",576202.918390622,32308.8068651313,599127.049830331,555046.12138532,620297.291070169,535621.426966924
2012,"Bulgaria",11131.7782245184,593.54216941569,11560.1046652237,10726.5288511154,11964.3646100932,10481.7358094709
2012,"Croatia",56269.3618844312,8461.46124821057,62539.4349455268,51304.3402000982,69332.2106295745,47721.3585444518
2012,"Cyprus",86451.3651858457,10171.3739480312,93204.4258019044,79579.4090963078,100094.008828927,74751.7089229607
2012,"Czechia",143041.873796218,13125.1064052751,152289.63354878,133068.104129869,160998.098615061,127406.607189955
2012,"Denmark",143685.206870342,6972.51276734007,148452.617274323,139319.139909962,152132.772495841,134915.049282699
2012,"Estonia",10086.396096033,962.03231641681,10818.6198727176,9504.90113535133,11337.7843124639,8958.05339843135
2012,"Finland",83549.2062985321,5642.10296447957,87369.1975972346,79838.3224076438,91115.4695380695,76998.5748102621
2012,"France",1425043.63172748,163816.761630356,1538227.21819681,1298433.98879595,1623706.72290061,1222596.95452893
2012,"Germany",2774293.92751459,327276.132376513,2983940.60304499,2564947.1071518,3207939.84497172,2407681.38562657
2012,"Greece",294566.645643881,30879.6251828549,317295.736089776,276674.342599595,340368.948101891,262872.294506527
2012,"Hungary",196801.052587143,20520.7096393247,212649.600686033,184156.705809161,226511.354884654,173586.934743457
2012,"Ireland",408895.051519726,56524.0632418719,444922.463398967,378752.282057965,480341.938636395,340793.414466616
2012,"Italy",1584397.94679491,132748.646921344,1670549.04823949,1507975.83895346,1753996.24841811,1434883.2869122
2012,"Latvia",20819.8155954954,2096.90047876376,22151.78343923,19499.7063049816,23816.5247413517,18512.4240265089
2012,"Lithuania",11430.1341246464,1679.10226383087,12679.9881684294,10331.3596645054,13848.312639898,9560.80691795427
2012,"Luxembourg",143649.913017398,16146.1485483748,155704.483363041,133369.768957204,165904.628694482,124744.968619817
2012,"Malta",15637.4717580696,2178.34853464667,17366.0054730997,14504.7958524661,18991.8412095227,13408.6530096986
2012,"Netherlands",376856.575174205,22286.4250663805,389590.081839,360783.425835273,403490.797287853,347014.527465585
2012,"Poland",57628.4195902785,6816.8697797586,62687.4202406556,54303.9250427624,67634.8106130275,50771.6786441257
2012,"Portugal",182311.488358439,22185.9902071461,201238.848877693,168536.338461733,213407.228190496,156653.852988626
2012,"Romania",12925.3720313511,968.266495547029,13590.3155242007,12333.6184943715,14244.3546661889,11828.6060669722
2012,"Slovakia",70097.2631431124,7772.81457511044,75060.1306865255,64797.5156607026,80066.8256851881,61108.4994556377
2012,"Slovenia",55800.1444474641,5189.08011317029,59042.7832282459,52749.4967262195,63253.1121000982,49069.4949404245
2012,"Spain",1760479.86256051,116639.348014989,1833150.63243368,1670957.39639279,1904831.51494361,1603555.21858717
2012,"Sweden",344107.766606367,19375.467995305,358937.678538581,331116.230845165,371011.264438984,320308.07409029
2012,"United Kingdom",2219085.40134941,189581.810289658,2330235.66366574,2097500.85427592,2482491.18084063,2022161.03548714
